Alpha,Facility,City,District
RAJMB,SI,Morbi,INDIA UNUSED LOCATIO
HULWK,DT,Mumbai,INDIA UNUSED LOCATIO
AMDMH,SI,Mahuva,INDIA UNUSED LOCATIO
AMDKS,SI,Kosamba,INDIA UNUSED LOCATIO
RAJAT,ST,Rajkot,INDIA UNUSED LOCATIO
RAJSU,SI,Surendra Nagar,INDIA UNUSED LOCATIO
DELSA,ST,Shahjahanpur,INDIA UNUSED LOCATIO
CCUJP,ST,Siliguri,INDIA UNUSED LOCATIO
DELA,ST,New Delhi,INDIA UNUSED LOCATIO
MAAB,BS,Chennai,INDIA UNUSED LOCATIO
MYQAT,ST,Mysore,INDIA UNUSED LOCATIO
RAJVE,SI,Veeraval,INDIA UNUSED LOCATIO
NDCGR,SI,Noida,INDIA UNUSED LOCATIO
BDQPR,SI,Por,INDIA UNUSED LOCATIO
AMDPN,SI,Panoli,INDIA UNUSED LOCATIO
NAGKL,SI,Kalmehswar,INDIA UNUSED LOCATIO
DEDAT,ST,Dehradun,INDIA UNUSED LOCATIO
ISKAV,ST,Nasik,INDIA UNUSED LOCATIO
GOPMN,SI,Mohannagar,INDIA UNUSED LOCATIO
CJBPO,SI,Pollachi,INDIA UNUSED LOCATIO
HYDSM,ST,Hyderabad,INDIA UNUSED LOCATIO
BLRSG,ST,Bangalore,INDIA UNUSED LOCATIO
MZAA,ST,Muzaffarnagar,INDIA UNUSED LOCATIO
PNQCK,SI,Chakan,INDIA UNUSED LOCATIO
MAATB,SI,Thirubhuvanai,INDIA UNUSED LOCATIO
AMDBL,SI,Billimora,INDIA UNUSED LOCATIO
AMDSR,SI,Sarkhej-Bawla,INDIA UNUSED LOCATIO
ISKRJ,SI,Rajguru Nagar,INDIA UNUSED LOCATIO
IXVVA,SI,Valsad,INDIA UNUSED LOCATIO
AMDNL,SI,Narol,INDIA UNUSED LOCATIO
AMDSN,SI,Santej-Khatrej,INDIA UNUSED LOCATIO
IXCPK,ST,Panchkula,INDIA UNUSED LOCATIO
AMDNR,SI,Naroda,INDIA UNUSED LOCATIO
BDQWG,SI,Waghodia,INDIA UNUSED LOCATIO
BOMMR,ST,Mumbai,INDIA UNUSED LOCATIO
IXZA,SI,Portblair,INDIA UNUSED LOCATIO
HBXDA,ST,Dharwad,INDIA UNUSED LOCATIO
SLVA,ST,Shimla,INDIA UNUSED LOCATIO
AMDMR,SI,Moraiya,INDIA UNUSED LOCATIO
RPRBS,ST,Bilaspur,INDIA UNUSED LOCATIO
MAAVD,SI,Vada,INDIA UNUSED LOCATIO
DAEBG,ST,Ballabhgarh,INDIA UNUSED LOCATIO
AMDBT,SI,Bhatt,INDIA UNUSED LOCATIO
SXRX,SI,Srinagar,INDIA UNUSED LOCATIO
AMDPT,SI,Patan,INDIA UNUSED LOCATIO
SLMA,ST,Salem,INDIA UNUSED LOCATIO
RPRBD,ST,Bhilai,INDIA UNUSED LOCATIO
DEDPN,SI,Pantnagar,INDIA UNUSED LOCATIO
STVSC,SI,Sachin,INDIA UNUSED LOCATIO
AMDSV,ST,Silvassa,INDIA UNUSED LOCATIO
GUXRW,SI,Rewari,INDIA UNUSED LOCATIO
AMDGN,ST,Gandhinagar,INDIA UNUSED LOCATIO
BOMKO,SI,Khopoli,INDIA UNUSED LOCATIO
AMDVT,SI,Vatva,INDIA UNUSED LOCATIO
SLMCN,ST,Kannur,INDIA UNUSED LOCATIO
BOMAB,SI,Ambarnath,INDIA UNUSED LOCATIO
IXVUM,SI,Umargaon,INDIA UNUSED LOCATIO
GUXMN,ST,Manesar,INDIA UNUSED LOCATIO
IXGAD,ST,Belgaum,INDIA UNUSED LOCATIO
IXMRN,SI,Kumarasamy Raja Nagar,INDIA UNUSED LOCATIO
DELKS,SI,Saharanpur,INDIA UNUSED LOCATIO
GAUDS,SI,Dispur,INDIA UNUSED LOCATIO
GOPSB,ST,Sahibadad,INDIA UNUSED LOCATIO
IXCDR,SI,De Rabassi,INDIA UNUSED LOCATIO
BDQHL,SI,Halol,INDIA UNUSED LOCATIO
STVNV,SI,Navsari,INDIA UNUSED LOCATIO
DELHL,SI,Haldwani,INDIA UNUSED LOCATIO
BOMMB,SI,Morbi,INDIA UNUSED LOCATIO
PNQRJ,SI,Ranjangaon,INDIA UNUSED LOCATIO
IXVA,ST,Vapi,INDIA UNUSED LOCATIO
SLMCO,ST,Coonoor,INDIA UNUSED LOCATIO
INDVK,RG,Indianapolis,
INDSC,SC,Indianapolis,INDY HUB DISTRICT
INDWK,DT,Indianapolis,INDY HUB DISTRICT
INDRT,RP,Indianapolis,INDY HUB DISTRICT
INDOO,SC,Indianapolis,INDY HUB DISTRICT
